median_house_value,total_bedrooms,population,house_holds,median_income,rooms_per_househole,population_per_househole,bedrooms_ratio
4.526,129.0,322.0,126.0,8.3252,6.98,2.56,0.15
3.585,1106.0,2401.0,1138.0,8.3014,6.24,2.11,0.16
3.521,190.0,496.0,177.0,7.2574,8.29,2.8,0.13
3.413,235.0,558.0,219.0,5.6431,5.82,2.55,0.18
3.422,280.0,565.0,259.0,3.8462,6.28,2.18,0.17
2.697,213.0,413.0,193.0,4.0368,4.76,2.14,0.23
2.992,489.0,1094.0,514.0,3.6591,4.93,2.13,0.19
2.414,687.0,1157.0,647.0,3.12,4.8,1.79,0.22
2.267,665.0,1206.0,595.0,2.0804,4.29,2.03,0.26
2.611,707.0,1551.0,714.0,3.6912,4.97,2.17,0.2
2.815,434.0,910.0,402.0,3.2031,5.48,2.26,0.2
2.418,752.0,1504.0,734.0,3.2705,4.77,2.05,0.21
2.135,474.0,1098.0,468.0,3.075,5.32,2.35,0.19
1.913,191.0,345.0,174.0,2.6736,4.0,1.98,0.27
1.592,626.0,1212.0,620.0,1.9167,4.26,1.95,0.24
1.4,283.0,697.0,264.0,2.125,4.24,2.64,0.25
1.525,347.0,793.0,331.0,2.775,5.94,2.4,0.18
1.555,293.0,648.0,303.0,2.1202,4.05,2.14,0.24
1.587,455.0,990.0,419.0,1.9911,5.34,2.36,0.2
1.629,298.0,690.0,275.0,2.6033,5.47,2.51,0.2
1.475,184.0,409.0,166.0,1.3578,4.52,2.46,0.25
1.598,367.0,929.0,366.0,1.7135,4.48,2.54,0.22
1.139,541.0,1015.0,478.0,1.725,5.1,2.12,0.22
0.997,337.0,853.0,325.0,2.1806,5.19,2.62,0.2
1.326,437.0,1006.0,422.0,2.6,5.27,2.38,0.2
1.075,123.0,317.0,119.0,2.4038,4.5,2.66,0.23
0.938,244.0,607.0,239.0,2.4597,4.73,2.54,0.22
1.055,421.0,1102.0,397.0,1.808,4.78,2.78,0.22
1.089,492.0,1131.0,473.0,1.6424,4.4,2.39,0.24
1.32,160.0,395.0,155.0,1.6875,4.7,2.55,0.22
1.223,447.0,863.0,378.0,1.9274,5.07,2.28,0.23
1.152,481.0,1168.0,441.0,1.9615,4.88,2.65,0.22
1.104,409.0,1026.0,335.0,1.7969,5.74,3.06,0.21
1.049,366.0,754.0,329.0,1.375,5.03,2.29,0.22
1.097,574.0,1258.0,536.0,2.7303,4.97,2.35,0.22
0.972,282.0,570.0,264.0,1.4861,4.6,2.16,0.23
1.045,432.0,987.0,374.0,1.0972,4.81,2.64,0.24
1.039,390.0,901.0,403.0,1.4103,3.75,2.24,0.26
1.914,330.0,689.0,309.0,3.48,4.76,2.23,0.22
1.76,715.0,1377.0,696.0,2.5898,3.49,1.98,0.29
1.554,419.0,946.0,395.0,2.0978,4.22,2.39,0.25
1.5,311.0,517.0,249.0,1.2852,3.76,2.08,0.33
1.188,202.0,462.0,189.0,1.025,3.77,2.44,0.28
1.888,202.0,467.0,198.0,3.9643,4.8,2.36,0.21
1.844,311.0,660.0,292.0,3.0125,4.94,2.26,0.22
1.823,420.0,718.0,382.0,2.6768,4.34,1.88,0.25
1.425,322.0,616.0,304.0,2.026,3.7,2.03,0.29
1.375,312.0,558.0,253.0,1.7348,3.98,2.21,0.31
1.875,195.0,423.0,160.0,0.9506,3.9,2.64,0.31
1.125,375.0,700.0,352.0,1.775,2.69,1.99,0.4
1.719,453.0,735.0,438.0,0.9218,2.05,1.68,0.51
0.938,456.0,1061.0,407.0,1.5045,4.59,2.61,0.24
0.975,853.0,1959.0,720.0,1.1108,4.47,2.72,0.26
1.042,456.0,1162.0,400.0,1.2475,4.08,2.91,0.28
0.875,235.0,701.0,233.0,1.6098,5.02,3.01,0.2
0.831,243.0,576.0,220.0,1.4113,4.3,2.62,0.26
0.875,288.0,622.0,259.0,1.5057,4.78,2.4,0.23
0.853,335.0,728.0,244.0,0.8172,6.1,2.98,0.22
0.803,341.0,1074.0,304.0,1.2171,4.56,3.53,0.25
0.6,43.0,94.0,57.0,2.5625,2.77,1.65,0.27
0.757,211.0,554.0,187.0,3.3929,5.99,2.96,0.19
0.75,29.0,86.0,23.0,6.1183,5.87,3.74,0.21
0.861,190.0,377.0,122.0,0.9011,6.23,3.09,0.25
0.761,237.0,521.0,159.0,1.191,7.7,3.28,0.19
0.735,182.0,392.0,133.0,2.5938,6.23,2.95,0.22
0.784,209.0,604.0,187.0,1.1667,5.4,3.23,0.21
0.844,354.0,788.0,332.0,0.8056,4.38,2.37,0.24
0.813,244.0,492.0,147.0,2.6094,6.99,3.35,0.24
0.85,109.0,274.0,82.0,1.8516,6.98,3.34,0.19
1.292,644.0,1823.0,611.0,0.9802,4.58,2.98,0.23
0.825,152.0,392.0,127.0,1.7719,6.05,3.09,0.2
0.952,297.0,582.0,277.0,0.7286,3.38,2.1,0.32
0.75,204.0,560.0,152.0,1.75,5.55,3.68,0.24
0.675,4.0,18.0,7.0,0.4999,1.71,2.57,0.33
1.375,161.0,290.0,133.0,2.483,6.28,2.18,0.19
1.775,462.0,762.0,439.0,0.9241,2.82,1.74,0.37
1.021,562.0,1236.0,509.0,2.4464,5.72,2.43,0.19
1.083,243.0,721.0,207.0,1.1111,5.83,3.48,0.2
1.125,374.0,1054.0,325.0,0.8026,5.37,3.24,0.21
1.313,176.0,344.0,155.0,2.0114,4.41,2.22,0.26
1.625,289.0,609.0,289.0,1.5,3.2,2.11,0.31
1.125,56.0,183.0,56.0,1.1667,3.75,3.27,0.27
1.125,97.0,200.0,87.0,1.5208,3.91,2.3,0.29
1.375,164.0,346.0,155.0,0.8075,2.49,2.23,0.42
1.188,184.0,467.0,169.0,1.8088,5.61,2.76,0.19
0.982,143.0,377.0,115.0,2.4083,6.72,3.28,0.18
1.188,451.0,582.0,380.0,0.977,2.32,1.53,0.51
1.625,348.0,546.0,330.0,0.76,2.65,1.65,0.4
1.375,42.0,125.0,39.0,0.9722,2.69,3.21,0.4
5.00001,78.0,396.0,85.0,1.2434,2.93,4.66,0.31
1.625,392.0,800.0,362.0,2.0938,2.75,2.21,0.39
1.375,87.0,904.0,88.0,0.8668,2.44,10.27,0.4
1.625,31.0,191.0,34.0,0.75,2.82,5.62,0.32
1.875,347.0,718.0,302.0,2.6354,3.49,2.38,0.33
1.792,623.0,1327.0,467.0,1.8477,3.67,2.84,0.36
1.3,2477.0,3469.0,2323.0,2.0096,2.29,1.49,0.46
1.838,1331.0,2048.0,1180.0,2.8345,3.89,1.74,0.29
1.25,107.0,202.0,91.0,2.0062,3.68,2.22,0.32
1.7,1270.0,2024.0,1250.0,1.2185,2.95,1.62,0.34
1.931,1085.0,1838.0,980.0,2.6104,3.71,1.88,0.3
2.578,1414.0,2304.0,1250.0,2.4912,3.72,1.84,0.3
2.734,1603.0,2563.0,1497.0,3.2177,3.88,1.71,0.28
2.375,242.0,389.0,228.0,3.125,3.75,1.71,0.28
3.5,701.0,895.0,613.0,2.5795,3.52,1.46,0.33
3.357,1914.0,2689.0,1789.0,2.8406,3.28,1.5,0.33
3.134,225.0,674.0,244.0,4.9306,6.18,2.76,0.15
2.685,482.0,709.0,456.0,3.2727,4.44,1.55,0.24
2.594,460.0,686.0,422.0,3.1691,4.17,1.63,0.26
2.757,751.0,1444.0,718.0,3.9,4.85,2.01,0.22
2.25,855.0,1520.0,802.0,3.9063,4.16,1.9,0.26
2.625,289.0,550.0,253.0,5.0917,5.63,2.17,0.2
2.185,1098.0,1806.0,1022.0,2.6429,3.73,1.77,0.29
2.55,1196.0,1749.0,1217.0,3.0233,3.25,1.44,0.3
2.241,559.0,939.0,519.0,3.1484,4.58,1.81,0.24
2.431,428.0,675.0,422.0,3.4722,3.82,1.6,0.27
2.316,287.0,534.0,291.0,3.1429,4.4,1.84,0.22
2.185,1750.0,2558.0,1661.0,2.4234,3.02,1.54,0.35
2.341,1105.0,1786.0,1037.0,3.0897,4.04,1.72,0.26
3.276,399.0,970.0,373.0,5.8596,6.74,2.6,0.16
3.476,454.0,1098.0,485.0,5.2868,6.55,2.26,0.14
3.661,406.0,794.0,376.0,5.956,6.85,2.11,0.16
3.35,54.0,98.0,47.0,4.9643,7.11,2.09,0.16
3.736,411.0,1061.0,403.0,6.3434,6.95,2.63,0.15
3.895,574.0,1177.0,555.0,5.1773,6.36,2.12,0.16
3.911,365.0,901.0,367.0,7.2354,7.12,2.46,0.14
3.373,1048.0,2031.0,956.0,5.457,5.53,2.12,0.2
2.952,473.0,1031.0,479.0,7.5,6.13,2.15,0.16
2.923,597.0,1358.0,597.0,6.0194,5.74,2.27,0.17
4.115,674.0,1616.0,654.0,7.5544,7.63,2.47,0.14
3.115,346.0,844.0,343.0,6.0666,6.45,2.46,0.16
3.259,490.0,1140.0,496.0,7.0548,6.13,2.3,0.16
3.926,210.0,533.0,194.0,11.6017,8.34,2.75,0.13
3.193,460.0,1072.0,443.0,7.4882,6.47,2.42,0.16
3.333,788.0,1627.0,766.0,6.8976,6.61,2.12,0.16
3.352,184.0,463.0,190.0,8.2049,6.98,2.44,0.14
3.512,223.0,542.0,211.0,8.401,7.53,2.57,0.14
3.689,271.0,661.0,269.0,6.8538,6.66,2.46,0.15
3.659,264.0,635.0,263.0,8.317,6.98,2.41,0.14
3.667,181.0,420.0,176.0,7.0175,6.98,2.39,0.15
3.628,534.0,1265.0,500.0,6.3302,7.54,2.53,0.14
4.833,38.0,126.0,52.0,6.3624,5.62,2.42,0.13
3.314,333.0,813.0,350.0,7.0549,6.79,2.32,0.14
3.235,436.0,1067.0,426.0,6.7851,6.96,2.5,0.15
2.167,605.0,1260.0,552.0,2.8929,5.13,2.28,0.21
2.331,535.0,951.0,487.0,3.0812,4.63,1.95,0.24
2.964,212.0,510.0,224.0,5.2402,6.2,2.28,0.15
2.737,335.0,765.0,308.0,6.5217,6.4,2.48,0.17
2.277,465.0,1129.0,460.0,3.2632,4.75,2.45,0.21
1.996,464.0,1073.0,441.0,3.0298,5.18,2.43,0.2
2.398,541.0,1185.0,515.0,4.5428,5.28,2.3,0.2
2.701,339.0,756.0,340.0,4.072,5.95,2.22,0.17
3.021,536.0,1034.0,521.0,5.3509,5.65,1.98,0.18
2.695,486.0,787.0,459.0,3.1603,4.43,1.71,0.24
3.147,229.0,612.0,213.0,4.7708,6.73,2.87,0.16
3.901,402.0,1021.0,380.0,8.1564,7.7,2.69,0.14
4.103,292.0,861.0,258.0,8.8793,8.97,3.34,0.13
3.524,313.0,953.0,327.0,6.8591,7.6,2.91,0.13
2.873,238.0,634.0,256.0,6.0302,5.82,2.48,0.16
3.487,365.0,878.0,352.0,7.508,7.99,2.49,0.13
2.438,550.0,918.0,483.0,2.7477,4.33,1.9,0.26
2.115,168.0,360.0,175.0,2.1944,5.07,2.06,0.19
2.184,510.0,1197.0,488.0,3.0149,4.28,2.45,0.24
2.699,502.0,1048.0,518.0,3.675,4.85,2.02,0.2
2.188,835.0,1373.0,747.0,3.225,4.33,1.84,0.26
2.25,1065.0,1715.0,1015.0,2.9345,4.06,1.69,0.26
2.5,792.0,1359.0,722.0,2.1429,3.27,1.88,0.34
1.714,469.0,1062.0,413.0,1.6121,3.56,2.57,0.32
1.938,864.0,1335.0,773.0,1.3929,3.19,1.73,0.35
1.25,492.0,1171.0,429.0,2.3173,3.8,2.73,0.3
0.975,526.0,1475.0,460.0,1.7772,3.88,3.21,0.29
1.25,188.0,742.0,196.0,2.6458,3.21,3.79,0.3
1.388,391.0,1086.0,363.0,2.181,3.69,2.99,0.29
1.167,606.0,1645.0,543.0,2.2303,3.09,3.03,0.36
1.518,647.0,1710.0,644.0,1.6504,3.64,2.66,0.28
1.27,228.0,731.0,228.0,2.2697,4.37,3.21,0.23
1.286,373.0,1118.0,347.0,2.1563,4.59,3.22,0.23
1.406,398.0,1006.0,335.0,2.1348,4.73,3.0,0.25
1.827,588.0,1213.0,554.0,2.6292,3.69,2.19,0.29
1.469,289.0,772.0,257.0,2.3833,4.64,3.0,0.24
1.228,420.0,1321.0,401.0,2.957,4.5,3.29,0.23
1.693,749.0,1487.0,677.0,2.5238,4.19,2.2,0.26
1.266,184.0,488.0,186.0,1.9375,4.21,2.62,0.23
1.279,414.0,949.0,392.0,1.9028,4.06,2.42,0.26
1.235,480.0,1149.0,415.0,2.25,4.21,2.77,0.27
1.119,299.0,844.0,280.0,2.3929,4.47,3.01,0.24
1.128,1344.0,4367.0,1231.0,2.1917,4.84,3.55,0.23
1.079,395.0,1659.0,412.0,2.9357,4.33,4.03,0.22
1.375,264.0,1011.0,263.0,1.8854,3.8,3.84,0.26
1.055,431.0,1464.0,389.0,2.1638,3.78,3.76,0.29
0.955,395.0,1237.0,303.0,2.125,4.53,4.08,0.29
1.161,180.0,647.0,168.0,3.375,4.01,3.85,0.27
1.122,376.0,1284.0,357.0,2.2542,4.55,3.6,0.23
0.75,43.0,228.0,55.0,2.1,3.18,4.15,0.25
1.125,129.0,381.0,123.0,1.6,3.75,3.1,0.28
1.25,237.0,846.0,227.0,3.625,3.97,3.73,0.26
1.15,779.0,1659.0,676.0,1.6929,3.51,2.45,0.33
0.95,128.0,520.0,138.0,1.6471,2.83,3.77,0.33
0.964,301.0,866.0,259.0,2.59,4.39,3.34,0.26
0.72,206.0,612.0,183.0,2.57,4.2,3.34,0.27
0.713,146.0,415.0,126.0,2.6429,3.75,3.29,0.31
0.808,215.0,994.0,213.0,3.0257,4.05,4.67,0.25
1.288,530.0,1525.0,477.0,1.4886,4.03,3.2,0.28
1.125,472.0,1506.0,438.0,1.9338,3.24,3.44,0.33
1.194,258.0,1008.0,255.0,1.4844,3.87,3.95,0.26
1.181,825.0,2813.0,751.0,1.6009,3.12,3.75,0.35
1.225,396.0,1481.0,343.0,2.0375,4.94,4.32,0.23
1.063,217.0,859.0,219.0,2.293,5.37,3.92,0.18
1.325,574.0,1608.0,523.0,2.1494,4.48,3.07,0.24
1.227,145.0,425.0,140.0,1.6198,4.36,3.04,0.24
1.133,199.0,564.0,184.0,1.3281,5.05,3.07,0.21
1.095,314.0,961.0,272.0,3.5156,5.47,3.53,0.21
1.647,690.0,2273.0,685.0,3.9048,5.0,3.32,0.2
1.25,190.0,600.0,195.0,3.0893,3.91,3.08,0.25
1.247,575.0,1647.0,527.0,2.6042,4.49,3.13,0.24
1.367,450.0,1201.0,424.0,2.5,4.31,2.83,0.25
1.417,711.0,2167.0,659.0,2.7969,4.63,3.29,0.23
1.5,376.0,939.0,340.0,2.8321,4.82,2.76,0.23
1.388,307.0,859.0,292.0,2.9583,5.28,2.94,0.2
1.392,557.0,1517.0,516.0,2.8365,4.58,2.94,0.24
1.438,409.0,1143.0,386.0,2.875,4.52,2.96,0.23
1.565,500.0,1109.0,464.0,3.0682,4.32,2.39,0.25
1.51,447.0,1221.0,446.0,3.0757,4.52,2.74,0.22
2.73,499.0,1115.0,455.0,4.9559,6.69,2.45,0.16
2.171,293.0,706.0,268.0,4.7721,5.77,2.63,0.19
1.871,711.0,1883.0,706.0,3.4861,4.98,2.67,0.2
2.396,354.0,804.0,340.0,5.1184,6.09,2.36,0.17
2.297,263.0,506.0,252.0,4.0977,5.24,2.01,0.2
2.573,259.0,610.0,238.0,4.744,7.12,2.56,0.15
2.469,341.0,768.0,332.0,4.2727,5.84,2.31,0.18
1.799,195.0,462.0,184.0,2.9844,5.26,2.51,0.2
1.696,256.0,667.0,235.0,4.1739,4.51,2.84,0.24
2.033,405.0,1059.0,399.0,3.8487,5.12,2.65,0.2
2.634,271.0,637.0,277.0,4.0114,6.55,2.3,0.15
2.318,451.0,1106.0,454.0,4.6563,5.99,2.44,0.17
1.405,761.0,1737.0,669.0,2.9297,4.7,2.6,0.24
1.26,459.0,1009.0,390.0,2.3036,4.62,2.59,0.25
1.22,195.0,737.0,210.0,2.6667,4.2,3.51,0.22
1.347,452.0,1354.0,491.0,2.619,3.3,2.76,0.28
1.394,533.0,1530.0,474.0,2.4167,4.46,3.23,0.25
1.154,528.0,1410.0,480.0,2.7788,4.21,2.94,0.26
1.373,508.0,1390.0,569.0,2.7352,3.93,2.44,0.23
1.37,300.0,1065.0,269.0,1.8472,5.49,3.96,0.2
1.426,224.0,792.0,245.0,2.6583,4.31,3.23,0.21
1.375,244.0,779.0,245.0,3.0536,3.67,3.18,0.27
1.117,710.0,2269.0,610.0,2.3906,4.87,3.72,0.24
1.268,460.0,1227.0,407.0,1.7188,4.18,3.01,0.27
1.113,248.0,753.0,241.0,2.625,3.66,3.12,0.28
1.148,114.0,547.0,135.0,2.8015,3.66,4.05,0.23
1.023,473.0,1807.0,440.0,1.7276,4.04,4.11,0.27
1.319,514.0,1700.0,495.0,2.0801,3.39,3.43,0.31
1.191,463.0,1543.0,393.0,2.489,4.17,3.93,0.28
0.806,314.0,1085.0,300.0,1.7546,4.73,3.62,0.22
0.806,173.0,353.0,137.0,4.0904,4.31,2.58,0.29
0.888,153.0,473.0,149.0,2.6765,5.0,3.17,0.21
1.024,498.0,1621.0,483.0,2.4338,4.7,3.36,0.22
0.987,375.0,1183.0,354.0,2.3309,3.49,3.34,0.3
1.0,328.0,836.0,277.0,2.2604,3.67,3.02,0.32
0.923,254.0,900.0,263.0,1.8039,3.54,3.42,0.27
0.948,597.0,1888.0,537.0,2.2562,5.01,3.52,0.22
1.02,415.0,1024.0,341.0,2.0562,4.54,3.0,0.27
1.584,443.0,1225.0,423.0,3.5398,5.44,2.9,0.19
1.216,399.0,1071.0,376.0,3.1167,4.66,2.85,0.23
1.291,403.0,1128.0,378.0,2.5401,4.94,2.98,0.22
1.214,502.0,1537.0,484.0,2.898,5.02,3.18,0.21
1.028,414.0,1240.0,393.0,2.3125,4.4,3.16,0.24
1.6,180.0,469.0,168.0,2.875,6.11,2.79,0.18
1.439,428.0,1086.0,425.0,3.3715,5.11,2.56,0.2
1.512,445.0,1144.0,417.0,3.5114,5.59,2.74,0.19
1.644,415.0,1109.0,375.0,4.3125,6.65,2.96,0.17
1.565,397.0,984.0,369.0,3.22,5.96,2.67,0.18
2.25,31.0,575.0,47.0,3.875,3.02,12.23,0.22
1.742,205.0,496.0,209.0,5.2328,5.66,2.37,0.17
1.669,193.0,555.0,190.0,3.7262,5.63,2.92,0.18
1.635,332.0,869.0,327.0,4.5893,5.4,2.66,0.19
2.53,95.0,236.0,106.0,5.2578,5.82,2.23,0.15
2.407,233.0,626.0,214.0,7.0875,6.59,2.93,0.17
2.081,387.0,922.0,329.0,3.9712,6.41,2.8,0.18
1.981,243.0,582.0,256.0,2.9514,4.8,2.27,0.2
