id,Adults,Children,Meal,Country,DepositType,Agent,Company,CustomerType,IsCanceled
0,2,0,BB,PRT,No Deposit,NULL,NULL,Transient,0
1,2,0,BB,PRT,No Deposit,NULL,NULL,Transient,0
2,1,0,BB,GBR,No Deposit,NULL,NULL,Transient,0
3,1,0,BB,GBR,No Deposit,304,NULL,Transient,0
4,2,0,BB,GBR,No Deposit,240,NULL,Transient,0
5,2,0,BB,GBR,No Deposit,240,NULL,Transient,0
6,2,0,BB,PRT,No Deposit,NULL,NULL,Transient,0
7,2,0,FB,PRT,No Deposit,303,NULL,Transient,0
8,2,0,BB,PRT,No Deposit,240,NULL,Transient,1
9,2,0,HB,PRT,No Deposit,15,NULL,Transient,1
10,2,0,BB,PRT,No Deposit,240,NULL,Transient,1
11,2,0,HB,PRT,No Deposit,240,NULL,Transient,0
12,2,0,BB,USA,No Deposit,240,NULL,Transient,0
13,2,1,HB,ESP,No Deposit,241,NULL,Transient,0
14,2,0,BB,PRT,No Deposit,241,NULL,Transient,0
15,2,0,BB,IRL,No Deposit,240,NULL,Transient,0
16,2,0,BB,PRT,No Deposit,8,NULL,Contract,0
17,2,0,BB,IRL,No Deposit,240,NULL,Transient,0
18,2,0,BB,FRA,No Deposit,NULL,110,Transient,0
19,2,0,BB,GBR,No Deposit,250,NULL,Transient,0
20,1,0,BB,GBR,No Deposit,241,NULL,Transient,0
21,2,0,BB,PRT,No Deposit,250,NULL,Transient,0
22,2,0,BB,PRT,No Deposit,250,NULL,Transient,0
23,2,0,BB,PRT,No Deposit,250,NULL,Transient,0
24,2,0,HB,GBR,No Deposit,115,NULL,Contract,0
25,2,0,BB,PRT,No Deposit,5,NULL,Transient,0
26,2,0,BB,IRL,No Deposit,8,NULL,Contract,0
27,2,0,BB,PRT,No Deposit,240,NULL,Transient,1
28,2,0,BB,PRT,No Deposit,240,NULL,Transient,0
29,2,0,BB,PRT,No Deposit,240,NULL,Transient,0
30,1,0,BB,unkown,No Deposit,NULL,NULL,Transient,0
31,2,0,BB,GBR,No Deposit,241,NULL,Transient,0
32,2,0,BB,PRT,No Deposit,NULL,NULL,Transient,1
33,2,0,BB,IRL,No Deposit,175,NULL,Transient,0
34,3,0,BB,PRT,No Deposit,241,NULL,Transient,1
35,3,0,BB,PRT,No Deposit,241,NULL,Transient,1
36,2,0,BB,ESP,No Deposit,240,NULL,Transient,0
37,3,0,BB,PRT,No Deposit,241,NULL,Transient,0
38,3,0,BB,PRT,No Deposit,241,NULL,Transient,1
39,2,0,HB,ROU,No Deposit,250,NULL,Transient,0
40,2,0,BB,PRT,No Deposit,241,NULL,Transient,1
41,2,0,BB,IRL,No Deposit,8,NULL,Contract,0
42,2,0,BB,ESP,No Deposit,NULL,NULL,Transient,0
43,2,0,HB,ROU,No Deposit,250,NULL,Transient,0
44,2,0,BB,PRT,No Deposit,240,NULL,Transient,0
45,2,2,BB,PRT,No Deposit,240,NULL,Transient,1
46,2,0,BB,ESP,No Deposit,134,NULL,Transient,0
47,2,0,BB,NOR,No Deposit,156,NULL,Transient-Party,0
48,2,0,HB,GBR,No Deposit,243,NULL,Contract,0
49,2,0,HB,IRL,No Deposit,241,NULL,Transient,0
50,2,0,BB,NOR,No Deposit,156,NULL,Transient-Party,0
51,2,0,BB,IRL,No Deposit,156,NULL,Contract,0
52,2,0,BB,OMN,No Deposit,243,NULL,Contract,0
53,2,0,BB,ESP,No Deposit,240,NULL,Transient,0
54,2,0,BB,ARG,No Deposit,240,NULL,Transient,0
55,2,2,BB,ESP,No Deposit,NULL,NULL,Transient,0
56,2,0,BB,PRT,No Deposit,NULL,NULL,Transient,0
57,2,0,BB,PRT,No Deposit,240,NULL,Transient,0
58,2,0,BB,PRT,No Deposit,NULL,NULL,Transient,0
59,2,0,BB,USA,No Deposit,242,NULL,Transient,0
60,2,0,BB,PRT,No Deposit,241,NULL,Transient,0
61,2,0,BB,IRL,No Deposit,240,NULL,Transient,0
62,2,0,BB,ESP,No Deposit,250,NULL,Transient,0
63,2,0,BB,IRL,No Deposit,115,NULL,Contract,0
64,2,0,HB,PRT,No Deposit,240,NULL,Transient,1
65,2,2,BB,USA,No Deposit,240,NULL,Transient,0
66,2,0,BB,ESP,No Deposit,240,NULL,Transient,0
67,2,0,BB,POL,No Deposit,242,NULL,Transient,0
68,3,0,BB,PRT,No Deposit,242,NULL,Transient,1
69,2,0,BB,PRT,No Deposit,240,NULL,Transient,1
70,2,0,BB,PRT,No Deposit,240,NULL,Transient,1
71,2,0,BB,PRT,No Deposit,240,NULL,Transient,1
72,2,0,HB,PRT,No Deposit,3,NULL,Transient,0
73,2,0,BB,ESP,No Deposit,240,NULL,Transient,0
74,3,0,BB,PRT,No Deposit,242,NULL,Transient,1
75,2,0,BB,ESP,No Deposit,240,NULL,Transient,0
76,2,0,BB,PRT,No Deposit,240,NULL,Transient,1
77,1,0,BB,PRT,No Deposit,240,NULL,Transient,0
78,2,0,BB,DEU,No Deposit,105,NULL,Transient,0
79,3,0,BB,PRT,No Deposit,5,NULL,Transient,0
80,2,0,BB,FRA,No Deposit,40,NULL,Contract,0
81,2,0,BB,PRT,No Deposit,40,NULL,Contract,1
82,2,0,BB,GBR,No Deposit,40,NULL,Contract,0
83,2,0,HB,PRT,No Deposit,250,NULL,Transient,1
84,2,0,HB,GBR,No Deposit,115,NULL,Contract,0
85,2,0,HB,GBR,No Deposit,40,NULL,Contract,0
86,2,0,BB,GBR,No Deposit,241,NULL,Transient,0
87,2,1,BB,PRT,No Deposit,242,NULL,Transient,1
88,2,0,BB,GBR,No Deposit,240,NULL,Transient,0
89,2,0,BB,PRT,No Deposit,240,NULL,Transient,0
90,2,0,BB,ESP,No Deposit,240,NULL,Transient,0
91,2,0,BB,PRT,No Deposit,240,NULL,Transient,0
92,2,0,BB,USA,No Deposit,241,NULL,Transient,0
