car_model,year_of_manufacture,price,fuel,year_of_selling
alto 800,2017,4253.731343283582,Petrol,2013-05-15
ciaz,2015,10223.880597014926,Diesel,2017-11-15
ciaz,2015,11194.029850746268,Petrol,2015-05-09
ertiga,2015,9104.477611940298,Petrol,2015-09-30
dzire,2009,3358.208955223881,Petrol,2017-06-12
ertiga,2016,11567.164179104477,Diesel,2013-12-30
ertiga,2015,10820.89552238806,Diesel,2017-11-15
ertiga,2016,11567.164179104477,Diesel,2017-06-12
wagon r,2015,4850.746268656716,CNG,2015-06-30
sx4,2010,3955.223880597015,Petrol,2015-05-09
